cod_parroquia	parroquia
PR80258	San Francisco De Onzole
PR80259	Santo Domingo De Onzole
PR80260	Selva Alegre
PR80261	Telembi
PR80262	Colon Eloy Del Maria
PR80263	San Jose De Cayapas
PR80264	Timbire
PR80350	Muisne
PR80351	Bolivar
PR80352	Daule
PR80353	Galera
PR80354	Quingue (Olmedo Perdomo Franco)
PR80355	Salima
PR80356	San Francisco
PR80357	San Gregorio
PR80358	San Jose De Chamanga (Cab.En Chamanga)
PR80450	Rosa Zarate (Quininde)
PR80451	Cube
PR80452	Chura (Chancama) (Cab. En El Yerbero)
PR80453	Malimpia
PR80454	Viche
PR80455	La Union
PR80550	San Lorenzo
PR80551	Alto Tambo (Cab. En Guadual)
PR80552	Ancon (Pichangal) (Cab. En Palma Real)
PR80553	Calderon
PR80554	Carondelet
PR80555	5 De Junio (Cab. En Uimbi)
PR80556	Concepcion
PR80557	Mataje (Cab. En Santander)
PR80558	San Javier De Cachavi (Cab. En San Javier)
PR80559	Santa Rita
PR80560	Tambillo
PR80561	Tululbi (Cab. En Ricaurte)
PR80562	Urbina
PR80650	Atacames
PR80651	La Union
PR80652	Sua (Cab. En La Bocana)
PR80653	Tonchigüe
PR80654	Tonsupa
PR80750	Rioverde
PR80751	Chontaduro
PR80752	Chumunde
PR80753	Lagarto
PR80754	Montalvo (Cab. En Horqueta)
PR80755	Rocafuerte
PR80850	La Concordia
PR80851	Monterrey
PR80852	La Villegas
PR80853	Plan Piloto
PR90101	Ayacucho
PR90102	Bolivar (Sagrario)
PR90103	Carbo (Concepcion)
PR90104	Febres Cordero
PR90105	Garcia Moreno
PR90106	Letamendi
PR90107	Nueve De Octubre
PR90108	Olmedo (San Alejo)
PR90109	Roca
PR90110	Rocafuerte
PR90111	Sucre
PR90112	Tarqui
PR90113	Urdaneta
PR90114	Ximena
PR90115	Pascuales
PR90150	Guayaquil
PR90151	Chongon
PR90152	Juan Gomez Rendon (Progreso)
PR90153	Morro
PR90154	Pascuales
PR90155	Playas (Gral. Villamil)
PR90156	Posorja
PR90157	Puna
PR90158	Tenguel
PR90250	Alfredo Baquerizo Moreno (Jujan)
PR90350	Balao
PR90450	Balzar
PR90550	Colimes
PR90551	San Jacinto
PR90601	Daule
PR90602	La Aurora (Satelite)
PR90603	Banife
PR90604	Emiliano Caicedo Marcos
PR90605	Magro
PR90606	Padre Juan Bautista Aguirre
PR90607	Santa Clara
PR90608	Vicente Piedrahita
PR90650	Daule
PR90651	Isidro Ayora (Soledad)
PR90652	Juan Bautista Aguirre (Los Tintos)
PR90653	Laurel
PR90654	Limonal
PR90655	Lomas De Sargentillo
PR90656	Los Lojas (Enrique Baquerizo Moreno)
PR90657	Piedrahita (Nobol)
PR90701	Eloy Alfaro (Duran)
PR90702	El Recreo
PR90750	Eloy Alfaro (Duran)
PR90850	Velasco Ibarra (El Empalme)
PR90851	Guayas (Pueblo Nuevo)
PR90852	El Rosario
PR90950	El Triunfo
PR91050	Milagro
PR91051	Chobo
PR91052	General Elizalde (Bucay)
PR91053	Mariscal Sucre (Huaques)
PR91054	Roberto Astudillo (Cab. En Cruce De Venecia)
PR91150	Naranjal
PR91151	Jesus Maria
PR91152	San Carlos
PR91153	Santa Rosa De Flandes
PR91154	Taura
PR91250	Naranjito
PR91350	Palestina
PR91450	Pedro Carbo
PR91451	Valle De La Virgen
PR91452	Sabanilla
PR91601	Samborondon
PR91602	La Puntilla (Satelite)
PR91650	Samborondon
PR91651	Tarifa
PR91850	Santa Lucia
PR91901	Bocana
PR91902	Candilejos
PR91903	Central
PR91904	Paraiso
PR91905	San Mateo
PR91950	El Salitre (Las Ramas)
PR91951	Gral. Vernaza (Dos Esteros)
PR91952	La Victoria (Nauza)
PR91953	Junquillal
PR92050	San Jacinto De Yaguachi
PR92051	Crnel. Lorenzo De Garaicoa (Pedregal)
PR92052	Crnel. Marcelino Mariduena (San Carlos)
PR92053	Gral. Pedro J. Montero (Boliche)
PR92054	Simon Bolivar
PR92055	Yaguachi Viejo (Cone)
PR92056	Virgen De Fatima
PR92150	General Villamil (Playas)
PR92250	Simon Bolivar
PR92251	Crnel.Lorenzo De Garaicoa (Pedregal)
PR92350	Coronel Marcelino Mariduena (San Carlos)
PR92450	Lomas De Sargentillo
PR92451	Isidro Ayora (Soledad)
PR92550	Narcisa De Jesus
PR92750	General Antonio Elizalde (Bucay)
PR92850	Isidro Ayora
PR100101	Caranqui
PR100102	Guayaquil De Alpachaca
PR100103	Sagrario
PR100104	San Francisco
PR100105	La Dolorosa Del Priorato
PR100150	San Miguel De Ibarra
PR100151	Ambuqui
PR100152	Angochagua
PR100153	Carolina
PR100154	La Esperanza
PR100155	Lita
PR100156	Salinas
PR100157	San Antonio
PR100201	Andrade Marin (Lourdes)
PR100202	Atuntaqui
PR100250	Atuntaqui
PR100251	Imbaya (San Luis De Cobuendo)
PR100252	San Francisco De Natabuela
PR100253	San Jose De Chaltura
